frame,L_pixels
0,165.73775
1,166.29712
2,166.21017
3,164.98714
4,163.67741
5,161.3341
6,158.8559
7,157.6677
8,156.85435
9,156.6901
10,156.58875
11,155.38577
12,154.00917
13,152.90799
14,151.18263
15,150.40154
16,149.67534
17,149.73454
18,149.81465
19,149.78682
20,149.61763
21,149.1061
22,148.66127
23,148.83298
24,148.03104
25,147.94469
26,147.60597
27,147.39087
28,147.3004
29,146.85437
30,147.01512
31,146.99332
32,147.17558
33,147.2126
34,147.27454
35,147.23747
36,147.38556
37,147.51688
38,147.4143
39,148.05687
40,148.57397
41,148.70561
42,148.37505
43,148.46295
44,148.28752
45,148.41682
46,149.01299
47,148.97223
48,149.0445
49,149.16507
50,149.08525
51,148.82808
52,148.42876
53,148.07812
54,148.07384
55,148.05545
56,148.48705
57,148.94447
58,149.64267
59,149.5505
60,150.02003
61,150.1306
62,150.11533
63,149.25462
64,149.27058
65,149.36832
66,149.1653
67,149.26799
68,149.50429
69,149.53986
70,149.37898
71,149.65367
72,149.80714
73,149.68861
74,149.72902
75,149.63036
76,149.49828
77,149.19626
78,148.75508
79,148.49959
80,148.66444
81,148.51021
82,148.2321
83,147.88292
84,147.59203
85,147.25432
86,146.85187
87,146.71887
88,145.92351
89,145.64522
90,145.50687
91,145.29474
92,145.14368
93,144.92984
94,144.96526
95,144.68959
96,144.59572
97,144.45511
98,144.16437
99,143.77815
100,143.52756
101,143.51581
102,143.39879
103,143.14162
104,142.72932
105,142.72243
106,142.31873
107,141.96704
108,141.2782
109,141.0573
110,140.96016
111,140.65076
112,140.27863
113,139.72089
114,139.45369
115,139.29448
116,139.45203
117,139.10951
118,138.74933
119,138.68475
120,138.72264
121,138.26405
122,137.98758
123,137.91072
124,137.39249
125,137.0438
126,136.87654
127,137.0184
128,137.00108
129,136.95538
130,137.08354
131,137.51193
132,137.7345
133,138.07483
134,138.29564
135,138.4161
136,138.35713
137,138.41145
138,138.57544
139,138.79535
140,139.29929
141,139.56052
142,139.64473
143,139.67664
144,139.63966
145,139.75002
146,139.38147
147,138.78001
148,138.17407
149,137.22601
150,136.60352
151,135.96434
152,135.68631
153,135.28397
154,134.85916
155,133.8033
156,133.14124
157,132.72392
158,132.26114
159,131.53296
160,130.73749
161,130.22006
162,129.47537
163,128.97162
164,128.61682
165,128.50139
166,128.26196
167,127.92725
168,127.52636
169,126.93474
170,126.177635
171,127.28072
172,126.01081
173,125.79176
174,125.59143
175,125.04692
176,124.00402
177,123.0969
178,122.485985
179,122.11724
180,121.58321
181,120.84137
182,120.36894
183,119.9367
184,119.08035
185,118.04749
186,116.8503
187,115.5779
188,114.44488
189,113.43439
190,112.67006
191,111.92381
192,111.20047
193,110.5125
194,109.36089
195,108.21035
196,107.46675
197,106.55151
198,105.87128
199,105.10431
200,104.41294
201,103.92219
202,103.25114
203,101.93065
204,100.39472
205,99.09783
206,97.97933
207,96.93813
208,95.871284
209,94.70158
210,93.54096
211,92.531364
212,91.52809
213,90.31818
214,88.87798
215,87.44797
216,86.529236
217,85.63293
218,84.35371
219,82.993484
220,81.502525
221,80.18649
222,79.09309
223,77.70467
224,76.042404
225,74.66131
226,73.22693
227,71.57357
228,70.08346
229,68.61242
230,67.2735
231,65.9234
232,64.39167
233,62.605007
234,61.10385
235,59.726486
236,58.669567
237,58.39158
238,58.61357
239,58.18905
240,57.45981
241,56.402813
242,55.259724
243,54.352043
244,53.553364
245,52.595566
246,51.930183
247,51.350494
248,50.248318
249,49.70477
250,49.06113
251,48.762417
252,48.362423
253,48.198193
254,47.46091
255,47.009453
256,46.43703
257,46.046783
258,45.813705
259,45.695946
260,45.673977
261,45.800686
262,45.84534
263,45.841213
264,46.459892
265,46.562847
266,46.57368
267,46.495117
268,46.37204
269,46.15808
270,46.172592
271,46.1936
272,45.913475
273,45.946346
274,45.93734
275,45.92714
276,45.934486
277,45.98547
278,45.858658
279,45.75842
280,45.959717
281,45.951557
282,45.69788
283,45.53939
284,45.522133
285,45.594437
286,45.621933
287,45.35678
